id,项目名称,网址,zbkzj,k1,kbjj,k2,Date,整数位,小数位,下浮率,rule2,rule2_result,rule3,rule3_result
A3311011160010761001001,遂昌县王村口镇第七批（2019年度）历史文化村落保护利用重点村项目—桥西村外立面、环境提升工程开标记录公示,http://lssggzy.lishui.gov.cn/art/2022/1/12/art_1229662124_187586.html,426555.237,0,395843.26,0,2022/1/12,100,0,7.2,7.81,0.6099999999999994,8.09,0.8899999999999997
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/9/25/art_1229662124_159430.html,484151.998,0,438641.71,0,2019/9/25,100,0,9.4,8.140000000000002,1.259999999999998,8.52,0.8800000000000008
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/10/9/art_1229662124_159554.html,518974.002,0,470709.42,0,2019/10/9,100,0,9.3,8.340000000000002,0.9599999999999991,8.22,1.08
A3311011160012195,2022-2025年农村生活污水治理设施提升改造项目（2022年农村生活污水治理设施提升改造项目）——云峰街道同心村陈岙生活污水处理设施提升改造,http://lssggzy.lishui.gov.cn/art/2022/11/25/art_1229662124_188287.html,562562.966,0,515870.24,0,2022/11/25,100,0,8.3,8.289999999999997,0.01000000000000334,7.82,0.4800000000000004
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/10/16/art_1229661956_138130.html,571216.723,0,508954.1,0,2020/10/16,100,0,10.9,7.9399999999999995,2.960000000000001,8.52,2.380000000000001
A3311011160012194001001,2022-2025年农村生活污水治理设施提升改造项目（2022年农村生活污水治理设施提升改造项目）——云峰街道龙口村寺后生活污水处理设施提升改造开标记录公示,http://lssggzy.lishui.gov.cn/art/2022/11/24/art_1229662124_188222.html,591202.233,0,553365.29,0,2022/11/24,100,0,6.4,7.880000000000002,1.4800000000000013,8.1,1.6999999999999993
A3311011160011970003001,遂昌县第六批（2018年度）历史文化村落保护利用重点村（湖山乡福罗淤村）三期项目开标记录公示,http://lssggzy.lishui.gov.cn/art/2022/10/12/art_1229662124_188177.html,659273.003,0,605871.89,0,2022/10/12,100,0,8.1,7.660000000000001,0.4399999999999986,8.99,0.8900000000000006
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/6/4/art_1229662124_159594.html,719050.871,0,660807.75,0,2019/6/4,100,0,8.1,7.820000000000001,0.2799999999999985,8.42,0.3200000000000003
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/9/5/art_1229661852_132085.html,788853.476,0,735211.44,0,2019/9/5,100,0,6.8,8.240000000000002,1.4400000000000022,8.54,1.7399999999999993
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2021/4/7/art_1229662124_161671.html,804883.998,0,746932.35,0,2021/4/7,100,0,7.2,7.840000000000002,0.6400000000000015,8.47,1.2700000000000005
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/9/9/art_1229661956_137919.html,855761.958,0,769330.0,0,2020/9/9,100,0,10.1,7.92,2.1799999999999997,8.01,2.09
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/9/12/art_1229662124_159364.html,927759.904,0,869311.03,0,2019/9/12,100,0,6.3,8.09,1.79,7.85,1.5499999999999998
A3311011160012282,青田县中医医院北山中心分院医技综合楼项目-边坡治理,http://lssggzy.lishui.gov.cn/art/2022/12/15/art_1229661956_210649.html,960509.333,0,864458.4,0,2022/12/15,100,0,10.0,7.9300000000000015,2.0699999999999985,8.17,1.83
A3311011160010497002001,0,http://lssggzy.lishui.gov.cn/art/2021/6/9/art_1229661956_138831.html,970037.593,0,858483.27,0,2021/6/9,100,0,11.5,7.6700000000000035,3.8299999999999965,8.63,2.869999999999999
A3311011160012239,遂昌县2022-2025 年农村生活污水治理设施提升改造项目（2022 年农村生活污水治理设施 提升改造项目）——新路湾镇新溪村溪淤生活污水处理设施提升改造,http://lssggzy.lishui.gov.cn/art/2022/12/4/art_1229662124_188280.html,1028673.3,0,916547.91,0,2022/12/4,100,0,10.9,7.910000000000002,2.9899999999999984,8.09,2.8100000000000005
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/9/4/art_1229661852_132077.html,1035030.886,0,946018.23,0,2019/9/4,100,0,8.6,7.869999999999999,0.7300000000000004,8.44,0.16000000000000014
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/7/30/art_1229662124_160941.html,1035393.002,0,958773.92,0,2020/7/30,100,0,7.4,7.729999999999998,0.3299999999999974,8.53,1.129999999999999
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/10/10/art_1229661852_132123.html,1042884.0,0,959453.28,0,2019/10/10,100,0,8.0,7.840000000000001,0.15999999999999925,8.52,0.5199999999999996
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/6/19/art_1229661852_132040.html,1066825.005,0,995347.73,0,2019/6/19,100,0,6.7,7.929999999999998,1.2299999999999978,8.63,1.9300000000000006
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/3/31/art_1229661852_132107.html,1068146.0,0,998716.51,0,2020/3/31,100,0,6.5,7.9399999999999995,1.4399999999999995,8.3,1.8000000000000007
A3311011160012241001001,遂昌县2022-2025 年农村生活污水治理设施提升改造项目（2022年农村生活污水治理设施提升改造项目）--新路湾镇胡家村生活污水处理设施提升改造开标记录公示,http://lssggzy.lishui.gov.cn/art/2022/11/28/art_1229662124_188226.html,1075553.847,0,984131.77,0,2022/11/28,100,0,8.5,8.06,0.4399999999999995,8.38,0.11999999999999922
A3311011160010497002001,0,http://lssggzy.lishui.gov.cn/art/2021/6/25/art_1229661812_159217.html,1080600.0,0,994152.0,0,2021/6/25,100,0,8.0,7.950000000000001,0.049999999999998934,8.96,0.9600000000000009
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/7/3/art_1229661852_132154.html,1083735.006,0,974277.77,0,2020/7/3,100,0,10.1,8.08,2.0199999999999996,8.89,1.209999999999999
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/10/26/art_1229661956_138237.html,1086809.319,0,988996.48,0,2020/10/26,100,0,9.0,8.16,0.8399999999999999,8.31,0.6899999999999995
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/7/7/art_1229662124_160783.html,1114286.999,0,995058.29,0,2020/7/7,100,0,10.7,7.9399999999999995,2.76,8.12,2.58
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/12/10/art_1229662124_160020.html,1157869.995,0,1079713.77,0,2019/12/10,100,0,6.75,8.139999999999999,1.3899999999999988,8.44,1.6899999999999995
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/7/2/art_1229661852_132151.html,1162720.998,0,1025519.92,0,2020/7/2,100,0,11.8,8.080000000000002,3.719999999999999,7.96,3.8400000000000007
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/9/11/art_1229662124_160286.html,1184441.004,0,1084947.96,0,2020/9/11,100,0,8.4,7.92,0.4800000000000004,7.96,0.4400000000000004
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/6/11/art_1229661852_132036.html,1188098.004,0,1107307.34,0,2019/6/11,100,0,6.8,8.100000000000001,1.3000000000000016,8.63,1.830000000000001
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/10/16/art_1229661852_132153.html,1203871.998,0,1102746.75,0,2020/10/16,100,0,8.4,8.29,0.11000000000000121,8.25,0.15000000000000036
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/3/20/art_1229661852_132080.html,1213721.005,0,1134829.14,0,2019/3/20,100,0,6.5,8.29,1.7899999999999991,8.28,1.7799999999999994
A3311011160012150,云和县中等职业技术学校产教融合中心二期工程监理,http://lssggzy.lishui.gov.cn/art/2023/1/16/art_1229661989_192834.html,1219692.997,0,1098943.39,0,2023/1/16,100,0,9.9,8.090000000000002,1.8099999999999987,8.71,1.1899999999999995
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2021/1/4/art_1229662089_160777.html,1220104.007,0,1105414.23,0,2021/1/4,100,0,9.4,8.040000000000001,1.3599999999999994,9.02,0.3800000000000008
