id,source_website_address,city,zbkzj,kbjj,k1,k2,project_type,下浮率,rule1,rule1_result,rule2,rule2_result,rule3,rule3_result,rule4,rule4_result
ah-chizhou-00aed8deea8949c5951f10db3ac675e8,https://ggj.chizhou.gov.cn/front/bidcontent/9005001004/00aed8deea8949c5951f10db3ac675e8,池州市,8271311.6,7474784.29,0,0,水利水电工程,9.629999999999995,16.209999999999994,6.579999999999998,6.0,3.6299999999999955,6.5,3.1299999999999955,9.21,0.4199999999999946
ah-chizhou-023960edd7f5493c907e87afca6d852b,https://ggj.chizhou.gov.cn/front/bidcontent/9005001004/023960edd7f5493c907e87afca6d852b,池州市,23505451.07,22356757.72,0,0,市政公用工程,4.890000000000001,15.319999999999993,10.429999999999993,5.400000000000006,0.5100000000000051,6.6,1.709999999999999,8.74,3.8499999999999996
ah-chizhou-0260929f7ebf4787b85a88bd031237f6,https://ggj.chizhou.gov.cn/front/bidcontent/9005001004/0260929f7ebf4787b85a88bd031237f6,池州市,29999565.85,27545601.36,0,0,建筑工程,8.180000000000007,16.599999999999994,8.419999999999987,6.540000000000006,1.6400000000000006,6.1,2.080000000000007,9.43,1.249999999999993
ah-chizhou-030e3fe1d863484da8df1f924627cec6,https://ggj.chizhou.gov.cn/front/bidcontent/9005001004/030e3fe1d863484da8df1f924627cec6,池州市,13925405.31,12747716.3,0,0,建筑工程,8.459999999999994,16.599999999999994,8.14,5.5,2.9599999999999937,6.3,2.159999999999994,9.07,0.6100000000000065
ah-chizhou-041eddebccf840818f18007371087e2e,https://ggj.chizhou.gov.cn/front/bidcontent/9005001004/041eddebccf840818f18007371087e2e,池州市,8267387.08,7800006.89,0,0,水利水电工程,5.650000000000006,16.28,10.629999999999995,6.099999999999994,0.44999999999998863,6.4,0.7499999999999947,9.24,3.5899999999999945
ah-chizhou-050487e6cfb845f2a38d5748fe340453,https://ggj.chizhou.gov.cn/front/bidcontent/9005001004/050487e6cfb845f2a38d5748fe340453,池州市,14934174.95,14323002.05,0,0,市政公用工程,4.090000000000003,16.28,12.189999999999998,5.200000000000003,1.1099999999999994,6.3,2.2099999999999964,8.85,4.759999999999996
ah-chizhou-0504e778e6114b86a4399e397eae989e,https://ggj.chizhou.gov.cn/front/bidcontent/9005001004/0504e778e6114b86a4399e397eae989e,池州市,37476362.19,34321976.78,0,0,建筑工程,8.420000000000002,16.209999999999994,7.789999999999992,6.189999999999998,2.230000000000004,7.0,1.4200000000000017,9.44,1.0199999999999978
ah-chizhou-05cb6da640b14587a05e3c9051d0d2fb,https://ggj.chizhou.gov.cn/front/bidcontent/9005001004/05cb6da640b14587a05e3c9051d0d2fb,池州市,7366146.92,6793797.0,0,0,水利水电工程,7.769999999999996,15.280000000000001,7.510000000000005,6.280000000000001,1.4899999999999949,7.0,0.769999999999996,9.2,1.4300000000000033
ah-chizhou-0605163ca36f4c639bd1f4bba6347b33,https://ggj.chizhou.gov.cn/front/bidcontent/9005001004/0605163ca36f4c639bd1f4bba6347b33,池州市,6890293.81,6342786.12,0,0,市政公用工程,7.950000000000003,18.430000000000007,10.480000000000004,6.280000000000001,1.6700000000000017,6.4,1.5500000000000025,9.96,2.009999999999998
ah-chizhou-072bf214098d44eabad1f873a62a3166,https://ggj.chizhou.gov.cn/front/bidcontent/9005001004/072bf214098d44eabad1f873a62a3166,池州市,8709637.43,8029414.0,0,0,水利水电工程,7.810000000000002,16.599999999999994,8.789999999999992,5.920000000000002,1.8900000000000006,6.8,1.0100000000000025,9.39,1.5799999999999983
