id,county,classify,project_type,zbkzj,k1,k2,kbjj,publish_time,source_website_address,numbers_bidders,trade_method,stage,industy,下浮率
ah-huainan-00ee95ae-0e87-4c88-8536-bd69a6fef380-1KB,,工程建设,1,13987254.03,0.45,0.98,12998355.17,25/6/2023 00:00:00,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230625/00ee95ae-0e87-4c88-8536-bd69a6fef380-1KB.html,196,公开招标,,市政,7.069999999999993
ah-huainan-054724c2-af66-4a94-983b-ee0224c61d92-1KB,寿县,工程建设,0,5728467.9,0.6,0.96,5289094.41,28/3/2023 00:00:00,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230328/054724c2-af66-4a94-983b-ee0224c61d92-1KB.html,150,公开招标,,公路,7.670000000000002
ah-huainan-0a5473bd-a81d-44c6-b50a-4ab3d7b331e1-1KB,寿县,工程建设,0,2507261.14,0.45,0.92,2194856.41,30/3/2023 00:00:00,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230330/0a5473bd-a81d-44c6-b50a-4ab3d7b331e1-1KB.html,142,公开招标,,公路,12.459999999999994
ah-huainan-0adb771b-95fb-4bc6-a8c5-65582ac717b8-1KB,寿县,工程建设,0,4152156.44,0.4,0.92,3630894.72,31/3/2023 00:00:00,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230331/0adb771b-95fb-4bc6-a8c5-65582ac717b8-1KB.html,153,公开招标,,公路,12.549999999999997
ah-huainan-0db33b10-acc5-4864-a346-fc1681a76826-1KB,寿县,工程建设,1,12342284.4,0.5,0.96,11322811.71,8/12/2022 00:00:00,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20221208/0db33b10-acc5-4864-a346-fc1681a76826-1KB.html,130,公开招标,,市政,8.260000000000005
ah-huainan-1c9c5b1f-52c2-49dd-b11b-2cd215efa92e-1KB,寿县,工程建设,2,4330067.96,0.6,0.96,4000349.77,4/5/2023 00:00:00,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230504/1c9c5b1f-52c2-49dd-b11b-2cd215efa92e-1KB.html,74,公开招标,,建筑,7.609999999999999
ah-huainan-1dfc4f0d-5eb1-4d93-8fac-076d79eb04a0-1KB,寿县,工程建设,0,5727301.17,0.4,0.92,5001823.93,31/3/2023 00:00:00,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230331/1dfc4f0d-5eb1-4d93-8fac-076d79eb04a0-1KB.html,153,公开招标,,公路,12.670000000000002
ah-huainan-23269dac-4509-4c31-94c7-bfc90cb3ab7d-1KB,寿县,工程建设,3,8514527.04,0.6,0.94,7729913.37,3/11/2022 00:00:00,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20221103/23269dac-4509-4c31-94c7-bfc90cb3ab7d-1KB.html,116,公开招标,,水利,9.219999999999999
ah-huainan-2781a7e9-368d-444f-909b-9ec2f817ffe9-1KB,寿县,工程建设,1,18381258.39,0.55,0.92,15993657.26,29/11/2022 00:00:00,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20221129/2781a7e9-368d-444f-909b-9ec2f817ffe9-1KB.html,75,公开招标,,市政,12.989999999999995
ah-huainan-29f3fd2b-2a27-4489-bb94-c3948f2bbd89,寿县,工程建设,2,11916088.47,0.35,0.98,10967567.84,13/9/2021 00:00:00,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20211104/29f3fd2b-2a27-4489-bb94-c3948f2bbd89.html,779,公开招标,,建筑,7.959999999999994
