"id","county","classify","project_type","zbkzj","k1","k2","kbjj","publish_time","source_website_address","numbers_bidders","trade_method"
"ah-huainan-0adb771b-95fb-4bc6-a8c5-65582ac717b8-1KB","寿县","工程建设","公路工程","4152156.44","0.4","0.92","3630894.72","31/3/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230331/0adb771b-95fb-4bc6-a8c5-65582ac717b8-1KB.html","153","公开招标"
"ah-huainan-0af4d2d7-c8d7-42c0-bdf2-f93e36a34820-1KB",,"工程建设",,,"0",,,"25/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230625/0af4d2d7-c8d7-42c0-bdf2-f93e36a34820-1KB.html","38","公开招标"
"ah-huainan-0b295c7c-dbf5-404b-90d4-569708517d6c-1KB","市级","工程建设","建筑工程",,"0",,"3008000.00","7/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230607/0b295c7c-dbf5-404b-90d4-569708517d6c-1KB.html","7","公开招标"
"ah-huainan-0b80e0d5-06c5-4f16-a6df-2d97c86e7e31",,"工程建设","供电工程 ","18000000.0",,,"15354225.99","7/9/2021 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20211103/0b80e0d5-06c5-4f16-a6df-2d97c86e7e31.html","66","公开招标"
"ah-huainan-0b9bf07f-cb30-4ffa-bb46-c4ac7d244067-1KB","凤台县","工程建设","市政公用工程","58000000.0",,,"57480448.34","16/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012003/20230616/0b9bf07f-cb30-4ffa-bb46-c4ac7d244067-1KB.html","9","公开招标"
"ah-huainan-0bfb7fd8-bfe7-44ad-86bf-a7c43595eacb-1KB","市级","工程建设","建筑工程",,"0",,"1200000.00","29/5/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230529/0bfb7fd8-bfe7-44ad-86bf-a7c43595eacb-1KB.html","40","公开招标"
"ah-huainan-0c699c5d-91c6-482f-88e2-fb19a9b85f80-1KB","寿县","工程建设",,"860000",,,"600000","9/3/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230309/0c699c5d-91c6-482f-88e2-fb19a9b85f80-1KB.html","5","公开招标"
"ah-huainan-0db33b10-acc5-4864-a346-fc1681a76826-1KB","寿县","工程建设","市政公用工程","12342284.40","0.5","0.96","11322811.71","8/12/2022 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20221208/0db33b10-acc5-4864-a346-fc1681a76826-1KB.html","130","公开招标"
"ah-huainan-0f53a9ea-3bd1-4c04-ace0-28c6a1aa85e2-1KB",,"工程建设","公路工程",,"0",,"18459347.29","29/12/2022 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20221229/0f53a9ea-3bd1-4c04-ace0-28c6a1aa85e2-1KB.html","11","公开招标"
"ah-huainan-108e768d-ba9e-47ee-9af3-8ed5ff9b6821-1KB","寿县","工程建设",,"16990192.15","0.55","-9.4","15430492.51","5/5/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230505/108e768d-ba9e-47ee-9af3-8ed5ff9b6821-1KB.html","80","公开招标"
"ah-huainan-11133c70-93ab-4dc9-a0e3-959c1ea5acbf-1KB",,"工程建设","建筑工程","143465000.0",,,"135144423.28","3/11/2022 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20221103/11133c70-93ab-4dc9-a0e3-959c1ea5acbf-1KB.html","11","公开招标"
"ah-huainan-11194508-cd43-4cab-8e2a-295625028147-1KB","市级","工程建设","市政公用工程","4600000.0","0",,"3398569.71","10/11/2022 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20221110/11194508-cd43-4cab-8e2a-295625028147-1KB.html","48","公开招标"
"ah-huainan-112a85b0-44d8-4fd2-9f91-aa21bb234692","市级","工程建设",,,"0",,,"24/6/2021 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20210624/112a85b0-44d8-4fd2-9f91-aa21bb234692.html","160","公开招标"
"ah-huainan-11461950-e1ff-4532-b0f2-5a95e5f3fbec-1KB",,"工程建设","建筑工程","4000000.0",,,"3720000","31/10/2022 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20221031/11461950-e1ff-4532-b0f2-5a95e5f3fbec-1KB.html","6","公开招标"
"ah-huainan-11931e0e-7ca8-4da1-8134-ab2b3233e30c-1KB","市级","工程建设","建筑工程",,,,"2745735.49","28/2/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230228/11931e0e-7ca8-4da1-8134-ab2b3233e30c-1KB.html","37","公开招标"
"ah-huainan-124ceb33-21af-41a5-b876-fc94debf5a41-1KB",,"工程建设","市政公用工程","31000000.0","0",,"21518296.37","14/11/2022 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20221114/124ceb33-21af-41a5-b876-fc94debf5a41-1KB.html","258","公开招标"
"ah-huainan-128986e7-17dc-481d-abc1-abae155bfa52-1KB","凤台县","工程建设","工程服务",,"100",,"868000","7/12/2022 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012003/20221207/128986e7-17dc-481d-abc1-abae155bfa52-1KB.html","3","邀请招标"
"ah-huainan-129d3cb6-93fa-4e2e-8e57-b59f246b8233-1KB","市级","工程建设","建筑工程","300000000.0","0",,"264675766.73","29/5/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230529/129d3cb6-93fa-4e2e-8e57-b59f246b8233-1KB.html","25","公开招标"
"ah-huainan-13026176-0062-411e-9602-9b71394cf4fa-1KB","凤台县","工程建设","工程监理（服务）",,"100",,"1080000","8/11/2022 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012003/20221108/13026176-0062-411e-9602-9b71394cf4fa-1KB.html","16","公开招标"
"ah-huainan-13307527-12ef-43f6-914f-b7960419f718-1KB","市级","工程建设","水利水电工程","3680000.0","0.3",,"1779471.12","12/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230612/13307527-12ef-43f6-914f-b7960419f718-1KB.html","417","公开招标"
"ah-huainan-13640613-2ffc-42fe-b2c1-37d2fabe03f1-1KB",,"工程建设","房屋建筑配套室外供电工程","6300000.0","0",,"5615941.95","23/2/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230223/13640613-2ffc-42fe-b2c1-37d2fabe03f1-1KB.html","46","公开招标"
"ah-huainan-13dac4ad-1e01-4a27-9ca2-baeeabee606e-1KB","市级","工程建设","市政公用工程","15050000.0",,,"11182345.15","9/2/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230209/13dac4ad-1e01-4a27-9ca2-baeeabee606e-1KB.html","166","公开招标"
"ah-huainan-13eeb8a4-e2f3-479c-acbc-576b27c25027-1KB","凤台县","工程建设","公路工程","12860000.0","0",,"4973381.16","18/1/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012003/20230118/13eeb8a4-e2f3-479c-acbc-576b27c25027-1KB.html","334","公开招标"
"ah-huainan-15b79119-585b-4b3f-af68-2f877bcb3c61-1KB",,"工程建设",,,,,,"29/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230629/15b79119-585b-4b3f-af68-2f877bcb3c61-1KB.html","39",
"ah-huainan-165ce92a-0e90-42e2-a9a4-cc6cf381adef","凤台县","工程建设",,,"100",,,"12/5/2022 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012003/20220512/165ce92a-0e90-42e2-a9a4-cc6cf381adef.html","3","邀请招标"
"ah-huainan-17d3a302-e515-4f25-bd05-bf99ef6212e1","市级","工程建设","市政公用工程","9040000.0","0",,"7680738.03","9/9/2021 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20211103/17d3a302-e515-4f25-bd05-bf99ef6212e1.html","113","公开招标"
"ah-huainan-17f266f6-0c80-46ef-a152-96230829432f-1KB","市级","工程建设",,,,,"1987762.57","1/2/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230201/17f266f6-0c80-46ef-a152-96230829432f-1KB.html","46","公开招标"
"ah-huainan-185467e0-69f4-4ef1-93df-ae24dd55a693-1KB","市级","工程建设",,,"0",,"1959716.85","14/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230614/185467e0-69f4-4ef1-93df-ae24dd55a693-1KB.html","60","公开招标"
"ah-huainan-18a40198-7742-4d3d-b3f1-aa033a4382a2-1KB","寿县","工程建设",,"2200000",,,"1766800","4/1/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230104/18a40198-7742-4d3d-b3f1-aa033a4382a2-1KB.html","14","公开招标"
"ah-huainan-18b32312-1ed4-4b7f-87b9-38284e00ac18-1KB","寿县","工程建设","市政公用工程","7002818.85",,,"6126853.75","25/5/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230525/18b32312-1ed4-4b7f-87b9-38284e00ac18-1KB.html","167","公开招标"
"ah-huainan-18b7d920-6cfb-4313-b0ee-d915c12e14f8","市级","工程建设","建筑工程","11980500.0",,,"9913028.02","7/9/2021 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20210907/18b7d920-6cfb-4313-b0ee-d915c12e14f8.html","286","公开招标"
"ah-huainan-196353c7-92eb-4723-b0fd-ce0c6d8b7f60-1KB","市级","工程建设","建筑工程","367497192.35999995","0",,"330747473.12","17/5/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230517/196353c7-92eb-4723-b0fd-ce0c6d8b7f60-1KB.html","33","公开招标"
"ah-huainan-1971435b-eb1f-4037-8c63-7f897148cb7d-1KB",,"工程建设",,,,,,"26/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230626/1971435b-eb1f-4037-8c63-7f897148cb7d-1KB.html","11","公开招标"
"ah-huainan-1a947afd-9f6b-4825-968c-5a9a4d798814-1KB","寿县","工程建设","公路工程","115640276.03",,,"102225240.13","11/11/2022 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20221111/1a947afd-9f6b-4825-968c-5a9a4d798814-1KB.html","123","公开招标"
"ah-huainan-1acab336-8649-49ea-b732-d1f904917941-1KB","市级","工程建设","建筑工程",,"0",,"2112000.00","22/3/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230322/1acab336-8649-49ea-b732-d1f904917941-1KB.html","37","公开招标"
"ah-huainan-1b6222a9-4f98-484e-8fd5-edccb86b3d0a-1KB","寿县","工程建设","水利水电工程","3197026.37","0.2",,"2942926.71","6/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230606/1b6222a9-4f98-484e-8fd5-edccb86b3d0a-1KB.html","199","公开招标"
"ah-huainan-1c9c5b1f-52c2-49dd-b11b-2cd215efa92e-1KB","寿县","工程建设","建筑工程","4330067.96","0.6","0.96","4000349.77","4/5/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230504/1c9c5b1f-52c2-49dd-b11b-2cd215efa92e-1KB.html","74","公开招标"
"ah-huainan-1ca31d8a-3fe2-4441-aedd-db716e74e615-1KB","寿县","工程建设","建筑工程","426680925.13",,,"385868667.79","29/3/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230329/1ca31d8a-3fe2-4441-aedd-db716e74e615-1KB.html","157","公开招标"
"ah-huainan-1ce5916d-e94c-4000-bd4e-88535d8326d0","寿县","工程建设","建筑装修装饰工程","3843750.89","0",,"3803321.24","11/10/2022 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20221011/1ce5916d-e94c-4000-bd4e-88535d8326d0.html","3","邀请招标"
"ah-huainan-1dfc4f0d-5eb1-4d93-8fac-076d79eb04a0-1KB","寿县","工程建设","公路工程","5727301.17","0.4","0.92","5001823.93","31/3/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230331/1dfc4f0d-5eb1-4d93-8fac-076d79eb04a0-1KB.html","153","公开招标"
"ah-huainan-1f51a447-c465-4ca6-8eae-01f82c03937d-1KB","市级","工程建设","建筑工程",,,,"4764500.00","19/12/2022 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20221219/1f51a447-c465-4ca6-8eae-01f82c03937d-1KB.html","31","公开招标"
"ah-huainan-2004c6aa-f7bf-462e-9689-f89d1684324e-1KB","寿县","工程建设",,"6461304.38","1",,"6367600.00","22/12/2022 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20221222/2004c6aa-f7bf-462e-9689-f89d1684324e-1KB.html","13","公开招标"
"ah-huainan-208d5744-b0b8-402c-99e8-306e9136c255","市级","工程建设","水利水电工程",,"0.3",,"9966951.41","25/8/2021 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20210825/208d5744-b0b8-402c-99e8-306e9136c255.html","79","公开招标"
"ah-huainan-21bc9e8c-66a4-422c-9397-80b4e845d9b6-1KB","市级","工程建设","市政公用工程","13467886.21","0",,"12255776.45","12/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230612/21bc9e8c-66a4-422c-9397-80b4e845d9b6-1KB.html","59","公开招标"
"ah-huainan-22f43242-8525-42cf-9c6a-e3ce8b27db4a-1KB","市级","工程建设","建筑工程监理（服务）",,"0",,"1995624.93","22/3/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230322/22f43242-8525-42cf-9c6a-e3ce8b27db4a-1KB.html","34","公开招标"
"ah-huainan-23269dac-4509-4c31-94c7-bfc90cb3ab7d-1KB","寿县","工程建设","水利水电工程","8514527.04","0.6","0.94","7729913.37","3/11/2022 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20221103/23269dac-4509-4c31-94c7-bfc90cb3ab7d-1KB.html","116","公开招标"
"ah-huainan-235c0a8c-26e8-459d-9b97-9464850e1b75-1KB","凤台县","工程建设","建筑工程",,"0",,"6560000","7/2/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012003/20230207/235c0a8c-26e8-459d-9b97-9464850e1b75-1KB.html","16","公开招标"
"ah-huainan-23e0ba3c-6c08-4dea-831a-efd63e4709a8-1KB","凤台县","工程建设","建筑工程",,"0",,"9000000.00","9/2/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012003/20230209/23e0ba3c-6c08-4dea-831a-efd63e4709a8-1KB.html","13","公开招标"
"ah-huainan-2440d33b-0c99-4758-84ca-e97bbca84ee2-1KB","市级","工程建设",,,"0",,"2290779.28","13/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230613/2440d33b-0c99-4758-84ca-e97bbca84ee2-1KB.html","64","公开招标"
"ah-huainan-2618e2a1-591e-4b1b-a8d8-6b5dae26c108-1KB","凤台县","工程建设","建设工程类","63000000.0","40",,"54902090.57","22/2/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012003/20230222/2618e2a1-591e-4b1b-a8d8-6b5dae26c108-1KB.html","24","公开招标"
"ah-huainan-26199afa-af91-4474-b1c5-495400c735c5-1KB","市级","工程建设","公路工程",,"0",,"952924.82","11/4/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230411/26199afa-af91-4474-b1c5-495400c735c5-1KB.html","11","公开招标"
"ah-huainan-2781a7e9-368d-444f-909b-9ec2f817ffe9-1KB","寿县","工程建设","市政公用工程","18381258.39","0.55","0.92","15993657.26","29/11/2022 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20221129/2781a7e9-368d-444f-909b-9ec2f817ffe9-1KB.html","75","公开招标"
"ah-huainan-28a417c0-e30a-4668-8e54-c13842f23fa9-1KB","市级","工程建设",,,"0",,"4832974.06","3/4/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230403/28a417c0-e30a-4668-8e54-c13842f23fa9-1KB.html","137","公开招标"
"ah-huainan-29037cc8-d29f-4e6f-b791-2675c818f4fe-1KB","寿县","工程建设","建筑工程","1040","-9.8","-13.4","9089600","29/9/2022 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20220929/29037cc8-d29f-4e6f-b791-2675c818f4fe-1KB.html","9","公开招标"
"ah-huainan-29f3fd2b-2a27-4489-bb94-c3948f2bbd89","寿县","工程建设","建筑工程","11916088.47","0.35","0.98","10967567.84","13/9/2021 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20211104/29f3fd2b-2a27-4489-bb94-c3948f2bbd89.html","779","公开招标"
"ah-huainan-29fd9800-d38d-464a-9f02-e0e6673288dd","寿县","工程建设","建筑工程","9086353.56","-8.6","-13.8","8068278.53","30/9/2021 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20211104/29fd9800-d38d-464a-9f02-e0e6673288dd.html","949","公开招标"
"ah-huainan-2aeaef35-166b-4735-8d0e-a55488b0a8f6-1KB","寿县","工程建设",,"873764663.70",,,"786388197.33","5/5/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230505/2aeaef35-166b-4735-8d0e-a55488b0a8f6-1KB.html","64","公开招标"
"ah-huainan-2b1ed342-a961-4fc5-a017-848b0775ac88-1KB","寿县","工程建设","建筑工程","910810268.25",,,"819729241.43","26/5/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230526/2b1ed342-a961-4fc5-a017-848b0775ac88-1KB.html","60","公开招标"
"ah-huainan-2bbc7ec5-7238-41a5-bef8-2d44c49e96dd-1KB","市级","工程建设","市政公用工程","20000000.0","0",,"19503454.00","5/1/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230105/2bbc7ec5-7238-41a5-bef8-2d44c49e96dd-1KB.html","9","公开招标"
"ah-huainan-2bc3adab-3974-4305-9864-8a63b91adf8e-1KB","寿县","工程建设","建筑工程","106150598.65",,,"95535538.88","26/5/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230526/2bc3adab-3974-4305-9864-8a63b91adf8e-1KB.html","51","公开招标"
"ah-huainan-2bd21167-a186-41e9-8585-2a1227470b16-1KB","市级","工程建设","建筑工程","494130000.0","0",,"444717000","8/11/2022 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20221108/2bd21167-a186-41e9-8585-2a1227470b16-1KB.html","13","公开招标"
"ah-huainan-2c274ece-c450-4e1f-9385-9208788535a4",,"工程建设",,,"0",,,"10/10/2022 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20221010/2c274ece-c450-4e1f-9385-9208788535a4.html","49","公开招标"
"ah-huainan-2c7392fe-c68d-4d1b-940b-047d52891b60-1KB","寿县","工程建设","市政公用工程",,"-8","-13.6","41590596.6","26/5/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230526/2c7392fe-c68d-4d1b-940b-047d52891b60-1KB.html","24","公开招标"
"ah-huainan-2d4a1826-697d-4a4e-b9b1-8783cfc3d33b-1KB","市级","工程建设","建筑工程",,"0",,"1727200.00","17/5/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230517/2d4a1826-697d-4a4e-b9b1-8783cfc3d33b-1KB.html","37","公开招标"
"ah-huainan-2d637d89-e0af-4726-9044-3756d98a7ebf-1KB","市级","工程建设","公路工程",,"0",,"6980000","31/1/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230131/2d637d89-e0af-4726-9044-3756d98a7ebf-1KB.html","4","公开招标"
"ah-huainan-2dbe62f8-9967-44d1-bb3c-646acf40fb08-1KB","市级","工程建设","建筑工程","17000000.0","0",,"14763547.11","27/4/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230427/2dbe62f8-9967-44d1-bb3c-646acf40fb08-1KB.html","88","公开招标"
"ah-huainan-2dd360c2-b965-4a11-acc8-49f420ff0353-1KB","市级","工程建设","建筑工程",,"15",,"2466420.00","21/3/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230321/2dd360c2-b965-4a11-acc8-49f420ff0353-1KB.html","31","公开招标"
