id,county,classify,project_type,title,zbkzj,kbjj,k1,k2,numbers_bidders,publish_time,source_website_address,trade_method
ah-huainan-0af4d2d7-c8d7-42c0-bdf2-f93e36a34820-1KB,,工程建设,建筑工程,罗山国家粮食储备库EPC总承包项目,122700000.0,110066104.0,0.0,,38,2023-06-25,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230625/0af4d2d7-c8d7-42c0-bdf2-f93e36a34820-1KB.html,公开招标
ah-huainan-0b80e0d5-06c5-4f16-a6df-2d97c86e7e31,,工程建设,供电工程 ,安成十字路口棚户区改造项目A区安置房供电工程,18000000.0,15354225.99,,,66,2021-09-07,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20211103/0b80e0d5-06c5-4f16-a6df-2d97c86e7e31.html,公开招标
ah-huainan-0b9bf07f-cb30-4ffa-bb46-c4ac7d244067-1KB,凤台县,工程建设,市政公用工程,凤台县新港综合码头疏港公路项目（凤凰湖大桥）,58000000.0,57480448.34,,,9,2023-06-16,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012003/20230616/0b9bf07f-cb30-4ffa-bb46-c4ac7d244067-1KB.html,公开招标
ah-huainan-0d8e5984-fcdf-4211-b043-fdaebcbfcf38-1KB,,工程建设,建筑工程,凤台县2023年义务教育保障机制校舍安全工程一标段,13820000.0,11128986.68,,,1365,2023-06-30,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012003/20230630/0d8e5984-fcdf-4211-b043-fdaebcbfcf38-1KB.html,
ah-huainan-0db33b10-acc5-4864-a346-fc1681a76826-1KB,寿县,工程建设,市政公用工程,张李乡2023年保张路（高瓦大桥头—北曹台）提质改造工程,12342284.4,11322811.71,0.5,0.96,130,2022-12-08,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20221208/0db33b10-acc5-4864-a346-fc1681a76826-1KB.html,公开招标
ah-huainan-108e768d-ba9e-47ee-9af3-8ed5ff9b6821-1KB,寿县,工程建设,建筑工程,寿县板桥镇金汇小学教学楼项目,16990192.15,15430492.51,0.55,-9.4,80,2023-05-05,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230505/108e768d-ba9e-47ee-9af3-8ed5ff9b6821-1KB.html,公开招标
ah-huainan-11133c70-93ab-4dc9-a0e3-959c1ea5acbf-1KB,,工程建设,建筑工程,安徽理工大学研究生公寓4号楼项目设计-采购-施工(EPC)总承包,143465000.0,135144423.28,,,11,2022-11-03,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20221103/11133c70-93ab-4dc9-a0e3-959c1ea5acbf-1KB.html,公开招标
ah-huainan-11461950-e1ff-4532-b0f2-5a95e5f3fbec-1KB,,工程建设,建筑工程,寿县城乡公交一体化改造工程项目前期服务总承包第一标段,4000000.0,3720000.0,,,6,2022-10-31,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20221031/11461950-e1ff-4532-b0f2-5a95e5f3fbec-1KB.html,公开招标
ah-huainan-129d3cb6-93fa-4e2e-8e57-b59f246b8233-1KB,市级,工程建设,建筑工程,淮南高新区（山南新区）春申里工程施工,300000000.0,264675766.73,0.0,,25,2023-05-29,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230529/129d3cb6-93fa-4e2e-8e57-b59f246b8233-1KB.html,公开招标
ah-huainan-13640613-2ffc-42fe-b2c1-37d2fabe03f1-1KB,,工程建设,房屋建筑配套室外供电工程,淮南经开区绿色智造产业园16#楼供电工程,6300000.0,5615941.95,0.0,,46,2023-02-23,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230223/13640613-2ffc-42fe-b2c1-37d2fabe03f1-1KB.html,公开招标
ah-huainan-17d3a302-e515-4f25-bd05-bf99ef6212e1,市级,工程建设,市政公用工程,淮陈路（学校路-淮清路东侧）道路工程,9040000.0,7680738.03,0.0,,113,2021-09-09,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20211103/17d3a302-e515-4f25-bd05-bf99ef6212e1.html,公开招标
ah-huainan-18a40198-7742-4d3d-b3f1-aa033a4382a2-1KB,寿县,工程建设,,寿县红十字会医院综合楼项目电梯采购及安装,2200000.0,1766800.0,,,14,2023-01-04,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230104/18a40198-7742-4d3d-b3f1-aa033a4382a2-1KB.html,公开招标
ah-huainan-18b32312-1ed4-4b7f-87b9-38284e00ac18-1KB,寿县,工程建设,市政公用工程,S230大顺镇境内道路两侧自来水管道迁改工程,7002818.85,6126853.75,,,167,2023-05-25,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230525/18b32312-1ed4-4b7f-87b9-38284e00ac18-1KB.html,公开招标
